t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,file,AU
141.02441540722847,130.7285723526965,123.40274727609462,119.04694017742284,117.66115105668112,119.24537991386988,129.78741967089198,145.35789145264073,152.2698466717148,152.48511253264888,158.8986318260425,152.67313537755786,152.33010477749295,152.09498759410306,151.92284593085725,151.7810325988126,151.7534615240766,151.78680172524824,151.80145086225758,151.7900223533163,151.79119756857227,151.7939488219034,151.7683330694963,151.751794431223,151.71948572972485,151.71579933907557,151.70483211901714,151.69026097532614,151.64437955131666,151.6104359027795,151.5772348051711,151.53070680133715,151.47221003416118,151.43557796167093,151.42508652654269,151.4157346514529,151.3912770929072,151.3724995227533,151.3813876784615,151.35216639394542,151.32047501143924,151.282602163462,151.2686020446798,151.2398120926568,151.21732254245728,151.19998036552343,151.22712611090037,151.26721733624856,151.2973741453818,151.28525448166607,151.28162434421637,151.2981318128265,151.3030661281856,151.25975429057752,151.22725952749192,151.24401522707842,151.2393747254134,151.2284614189526,151.19098642186765,151.18795843551752,23-03-06-rings-afternoon_min0,1.01270992715413
151.1728612410227,151.16913931766885,151.14725002949845,151.1429729012131,151.1752079447702,151.22776694447276,151.25648214779426,151.29697223575445,151.3588058799703,151.41082648667842,151.41850906368165,151.4110979990654,151.4039940941496,151.3626768462436,151.33547072569945,151.31217535651788,151.32230672611578,151.35469578424645,151.40523740288802,151.43863586884262,151.46738234458007,151.49845515530075,151.47394844140192,151.40950254466537,151.36445430744794,151.33111569499252,151.29110023401756,151.26016216381862,151.24618429496712,151.26711191188775,151.25514560275656,151.25268606854343,151.20942661904928,151.19718947332825,151.20106524922247,151.20284618821347,151.19675723186816,151.21094276015285,151.2720652325607,151.31564357533335,151.30453486863752,151.28847730311094,151.27467150961158,151.2549334854332,151.22031830395218,151.17994544506735,151.1661178995931,151.14679368855747,151.14533349634715,151.10505734364423,151.09227342662447,151.1176119006324,151.14311321014554,151.15289460769856,151.15052343297936,151.1926592570213,151.2068265545901,151.2076707359305,151.2039610243503,151.21870824680016,23-03-06-rings-afternoon_min1,1.01270992715413
151.26087445009915,151.30460522663327,151.320585778945,151.3639010666756,151.36618146325833,151.3760930446421,151.34362225457244,151.32081643919457,151.2993273494224,151.28595466287774,151.26199706383164,151.24804638099667,151.27172472167638,151.28929827022523,151.26480092659034,151.25623771867103,151.27497451572816,151.26854398540237,151.2581851527474,151.17128636484458,151.16389579150552,151.20039130158807,151.34964060394404,151.53584976018493,151.77844756787675,152.0608366418155,152.32240856598509,152.5055016767363,152.6019597976085,152.60858725760508,152.60275689841168,152.5705270438704,152.5586342385511,152.56455994838,152.53952642488764,152.53150424201496,152.50201285993876,152.50353094544118,152.51595843675054,152.53752001466285,152.53958738100326,152.5688027690901,152.59657170617606,152.6148879439747,152.5823679155593,152.55472587421485,152.52658381013836,152.4892055468995,152.45363140526152,152.41934578754086,152.41050361370537,152.39748617516608,152.3993676063841,152.40293903247135,152.41935351376011,152.446040033214,152.45883062916494,152.46329845872128,152.48037754109274,152.52488200660244,23-03-06-rings-afternoon_min2,1.01270992715413
152.56193170594463,152.59120342627165,152.64513473293428,152.7252581047294,152.7733760064087,152.81510923317,152.82510067718243,152.86204251376114,152.84221122561928,152.83713176799466,152.8114175072798,152.8003306434555,152.80566055309757,152.8123582999534,152.80798540606938,152.81300755925437,152.83146929500128,152.84426575971727,152.81216758287422,152.78804203439566,152.7914933938498,152.78494052447346,152.79261987662,152.8078153581088,152.84840439305208,152.8955510081919,152.9508533453088,152.97779545046745,152.99671675596403,153.0028206628401,152.99582099272394,152.9308470375522,152.87323462015283,152.82916503605944,152.7733259262805,152.7349657771568,152.71952291833017,152.74517719117682,152.77702537048594,152.82541379654464,152.86897536294862,152.9066121047785,152.9474677199749,152.96484253277515,152.94686558073138,152.92647319913297,152.9000358117184,152.89657080195153,152.8826086266124,152.90329555303057,152.93731608831752,152.97070646841814,152.99598093139093,153.02175666593743,153.07585044451855,153.07209172776237,153.03906814349978,153.0204297757098,152.99905210157638,152.99348827521175,23-03-06-rings-afternoon_min3,1.01270992715413
152.97209561497937,152.96248672354983,152.95948073815248,152.99774845719105,153.0467210249472,153.0517032784341,153.05947383553632,153.09443880331685,153.1095870778035,153.13232678361817,153.13715120487018,153.1607756359043,153.14776641363602,153.14016213425745,153.11855590630665,153.10368907565913,153.10046149596977,153.11678518726603,153.11872420746977,153.12549508269467,153.15339550778134,153.18242272784863,153.18009942802468,153.18337365352792,153.21272629167575,153.21502318798508,153.21784770405424,153.21267306968343,153.20857410287695,153.22429668245755,153.23099282874108,153.21851039630627,153.2187256041173,153.2419632538961,153.26210054774555,153.23558437265456,153.21208315011768,153.21550864748545,153.20610368082032,153.2231077892246,153.21025254200964,153.21632277363526,153.20631723273067,153.19504755588787,153.15413044314764,153.12104738478078,153.10806608755874,153.10454143375028,153.0770461431477,153.08080634981928,153.11187375811448,153.1619186302571,153.18886641448336,153.21953918488694,153.2475098059362,153.28176598893506,153.3170354132273,153.34519578310824,153.40197785917744,153.44543929694123,23-03-06-rings-afternoon_min4,1.01270992715413
137.8083816641725,134.74257116070945,132.788060552449,131.9448498393912,132.212939021536,133.5923280988838,141.01670275996577,151.60244987949335,152.07617622291386,147.54057745944692,147.41383505275155,147.20244595424697,147.05479393212897,146.9337069756691,146.95401502884457,147.03794045536034,147.21197882046926,147.42891042413487,147.65551105727545,147.79969485662585,147.88742179248206,147.90153595895526,147.8512712551261,147.73518871513917,147.68442086647394,147.68242701184948,147.61543594830687,147.5176227315667,147.41625408260586,147.3121853195863,147.23352485109427,147.15250021088082,147.0645844904883,146.99777992720848,146.95853644793203,146.94860222141455,146.80940646922747,146.77952900145328,146.81157952471472,146.9901841486471,147.27511600631763,147.58838474339922,147.93896257528507,148.23153522514224,148.44915944583352,148.55536608336644,148.53645451172048,148.53290783324707,148.46618648391768,148.45176643820184,148.44076088740138,148.4361297164799,148.44429516440366,148.45828672704025,148.50357321240546,148.56339385440995,148.63424731227207,148.70345265097814,148.77454381951193,148.86677637423838,23-03-09-rings-afternoon_min0,3.13240418118467
148.88507105371167,148.86685594441687,148.82274740120857,148.77604612455733,148.7486108020628,148.66450314742903,148.5457266466945,148.4210797408434,148.34927040145593,148.2643362626735,148.114215778706,147.9882825225542,147.9008090738747,147.84058237656308,147.8123494948298,147.75512200518352,147.71742170680204,147.6985142413156,147.62585668161276,147.625747479111,147.736552394817,147.9131247582943,148.1771929033744,148.47429499098857,148.79442925442115,149.08896481055342,149.3626176685416,149.5724338826913,149.6779373157094,149.86397530556513,149.95018613588604,149.938514300438,149.8895097923728,149.80069742348536,149.71892224924193,149.59104939588997,149.4933230131599,149.43134014423123,149.4362652513597,149.43425552142946,149.37767304265154,149.3308360493271,149.29902654063469,149.27151106701322,149.27070485678016,149.2484388729358,149.24952715142885,149.2420973541889,149.25340278109798,149.23199383059656,149.22904324476025,149.23662664161063,149.2282030707786,149.1933740172728,149.15751565351832,149.14861061078454,149.10235834801003,149.0213384818492,148.94400054449537,148.86675728988396,23-03-09-rings-afternoon_min1,3.13240418118467
148.79320325162348,148.7308988178439,148.67577887878227,148.6725594047071,148.6672035934583,148.6797521275523,148.67374399417903,148.68479986618155,148.72142484082534,148.71333488063271,148.69524483728938,148.67577999325482,148.70013239222573,148.6336552428018,148.57438786132985,148.57650356890514,148.61856054994223,148.7310920879346,148.92526124580309,149.11858985819907,149.34343517336114,149.55300824674956,149.73215159564694,149.777770312393,149.8811319228194,149.94423438612938,149.98609612106057,150.0707458994054,150.17979756404486,150.27221645700087,150.3749040802726,150.48488277661602,150.62129014219516,150.75858250173175,150.8671998500952,150.93114705988592,150.99720134601773,151.0403051408458,151.04227365900385,151.03959256606706,151.0664864169355,151.11673551814897,151.18680844607098,151.28704436805378,151.39541698298763,151.5089736262684,151.62121503781097,151.71652044628777,151.81368155036108,151.91021709150723,151.9995881431128,152.0543496290724,152.09414476435705,152.14922467330348,152.19534644003687,152.23056631377295,152.253728135946,152.26636080086138,152.27793479589485,152.30127157049813,23-03-09-rings-afternoon_min2,3.13240418118467
152.28985060203064,152.23790396942604,152.17368996992457,152.12773997818906,152.06754505124914,152.01512039686526,151.9574489796052,151.95070285594625,151.92165245326916,151.88539198228577,151.7995192442066,151.71826176617483,151.6920158625333,151.65746714234615,151.59221799939925,151.53265503767565,151.52108496305624,151.52151044654448,151.47664777691068,151.4129597491724,151.3993224702458,151.36924463848646,151.36766490921505,151.3174523682341,151.27987475668186,151.2725176175193,151.25973873933822,151.1951976184311,151.14561652099846,151.10966094125018,151.04509063459918,150.9076710750147,150.77377399167,150.68452532653933,150.57098570465314,150.45321802684217,150.31265484054836,150.21169029854377,150.09744418405353,149.96719059602103,149.80107156219572,149.66253830465914,149.5873179876633,149.50805985757813,149.3766619591667,149.25070717630578,149.173220650516,149.0909622970937,148.96630044466394,148.84088201950186,148.74776238019388,148.6775155668898,148.65158287350715,148.59676651360655,148.58696552583928,148.44788129204375,148.4448867517262,148.54607945234517,148.73092270786714,148.96508278065025,23-03-09-rings-afternoon_min3,3.13240418118467
149.3143272133145,149.71248383066364,150.1092460650113,150.46423074267358,150.70083611050455,150.73298324905122,150.81477666981863,150.8576068734917,150.79712566937954,150.70875547340435,150.66730806142778,150.66671769133058,150.61970459948716,150.5784494537856,150.52580771832834,150.48410646744435,150.4535800644356,150.42258506128792,150.38291346647105,150.36111178690876,150.3725260132125,150.38326708228794,150.33727769671418,150.2985851383683,150.2808524178463,150.22927963940583,150.17679600492147,150.11600128229202,150.0629463541608,150.0304943915636,149.98233984665916,149.89790105535698,149.81663530572573,149.7705628484747,149.72630206515444,149.64801329301804,149.57245711272552,149.5361851650461,149.49465389493818,149.43925921863286,149.37472216041294,149.40252459095584,149.39403760979735,149.4030814043636,149.3788985435413,149.35758757177567,149.3526234304437,149.33245233487892,149.25391530410192,149.1350235898275,149.07771679083675,149.0758422717198,149.00078604697487,148.9348567042816,153.57184053387064,150.01901245302952,144.52366669355814,137.085803255456,127.7054221387231,116.38252334335944,23-03-09-rings-afternoon_min4,3.13240418118467
