t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,file,AU
117.89699790021764,118.7723041326512,119.52567275810644,120.15710377658333,120.66659718808188,121.0541529926024,124.19521642487388,124.00372762803592,122.80082080525024,118.53861127833235,116.12460616155929,114.35204923917058,114.76216577826574,115.4510312073271,118.98635301923906,125.10496945485774,128.2309130617639,130.1202728580502,130.45722859612334,128.5345963574667,128.52853502629327,128.28844131534754,128.07983972558003,128.08085008085047,128.32358009488092,128.58812253879557,128.91189356436033,129.9307837097159,130.24057188424098,129.34116662051105,129.0173287507845,128.88935651867783,129.0017909687322,129.40918059720008,132.27942892032738,130.30750211139352,131.4865363717539,129.2480543375525,126.07828919303395,122.99152292034604,121.53835928263454,122.52585361287076,122.59994419758056,122.29752427641958,120.80348295705495,116.38587986546337,116.70528550197592,114.150441497273,116.16580262479609,117.65492542057302,116.75292232510772,121.15756437769257,121.56916991297552,119.53204708442136,113.59396860766668,110.95903109739352,110.35504358628954,111.96755515362784,116.0379101093445,118.33762755232364,22-12-28-rings-morning_min0,0.656269734493836
119.5998914322013,125.08642373918508,127.08190752674378,127.4009036300818,127.17741369761148,126.78121057758231,125.17409611763892,122.2398975558736,118.30242251798052,114.99780556638424,110.02510189624776,108.09985316382516,106.68028331816028,106.26935959778687,107.5274000396106,107.41362839248674,107.0335235863884,105.94506273317948,104.58022342883166,103.4017175552967,102.79200004578114,104.2135084692178,105.81465710447472,106.88929011566088,106.31738278468993,107.34034386247642,107.60257727817933,107.23881766023447,105.20047556613228,104.03094536295085,104.94751507131792,105.74108364513964,108.31628249845156,111.11047689815456,111.26500290959822,113.46867887211884,115.56358526320165,115.40755932028296,113.10340195664224,111.36348235611568,109.30941128401844,106.2752890923242,105.39437907947688,105.71201403676211,104.3143699994873,104.58314597344742,106.04693956986851,106.02112318329428,105.72134077256332,105.06359053327336,104.0370070352817,102.54901963525596,103.04263133262596,103.2659524481598,103.25234039614932,103.22765201595313,103.40423978365416,103.55469829757948,103.9593060762884,103.83014304017766,22-12-28-rings-morning_min1,0.656269734493836
103.7504120128456,103.8037280435225,103.8813724854038,103.9540337429669,104.15598834046884,104.33872964456904,104.5976610658759,104.8195714210416,104.37809345156482,105.07351481946368,105.86978507946826,106.47420263154342,106.68529750251996,106.69413114830311,106.53353338447656,106.18208709517008,105.03211990383306,104.45073460044358,104.36011973663317,106.5472423750466,108.33589662127606,110.93484900081026,112.53191779244476,113.13836983372576,112.71049223706328,111.33648043332862,108.1946757129734,106.60779025632549,106.10355964969332,106.58161627028778,108.13071359923902,110.78903254692528,112.75462188329696,115.07164343237925,115.898355308824,115.21053731334275,112.86917100127248,110.98031758613236,106.88157603173988,107.38240443899976,107.56210818652453,105.70732195348911,109.00097221061677,112.1008354685228,112.22210498188562,113.3458251056836,111.04436469052791,109.07677806273466,108.95465783967946,111.7108871071164,110.73377830120684,108.40801164810571,109.95244134445696,108.5492042653689,106.03888886762589,104.79478760408256,101.36120269845168,100.87465373247376,101.74578803899706,101.85875798206332,22-12-28-rings-morning_min2,0.656269734493836
102.8228060920082,104.5492905446076,106.59283074227346,108.82299951061692,111.63411282486403,112.1942222387691,113.16275122334744,112.47036699887994,110.14229810527286,108.21848220521292,106.44875804177012,104.9888198764676,104.00163927098995,103.54828468322332,103.88585630770156,103.2459007665486,104.31075691561074,103.33674649461952,103.73052322731348,105.1883533320636,107.53195457577692,111.22987841003292,112.53090494251674,114.88501559098584,115.6547393492378,114.95212255201432,111.64303231820622,109.46929301707875,107.23763525393198,106.5428320067104,107.38967362137348,110.67480016532082,111.1507062440115,112.97466590813802,111.99225239805556,110.77920819095236,109.6697332636574,109.95867990713876,106.40293499679196,107.13382007265082,108.21590395872674,109.90714822138509,109.6252518712476,108.84405415261516,107.3849533557826,106.80283296453382,106.61284653907246,105.43251157632484,103.8912437360412,105.2476283796502,105.3414127376533,104.8992298359196,105.51308721985512,106.5987862701538,107.23033703926316,107.73565794665436,107.80554376396208,107.45289167213028,106.85528859812096,105.96229738035436,22-12-28-rings-morning_min3,0.656269734493836
104.77504959450306,103.5855873336736,103.73701967086764,104.0124894679976,104.15631776751924,104.53124815614106,104.44966765505606,104.68066398325853,105.15763295568564,106.26054003100026,105.75535355248168,105.35191402706948,103.25266565795562,103.07473163310256,105.7263599890162,107.57291637158735,108.62104770377148,109.71767250049272,110.49560871437328,110.74317915574434,108.76558533397213,106.65460254560112,103.5362740108324,103.44889311277242,105.07747928333748,105.25352242810212,105.53446544521717,106.00265763930344,106.48196713591926,106.9383782042868,107.44405872417678,108.07012306036052,108.11187882356909,108.21519614918236,108.2655745569773,108.09733124429876,107.80410346867224,107.56340749412291,107.33077788910737,107.18592336481696,107.28375092982554,107.58381529356402,107.48929367753364,107.55621963803202,107.5613098236667,107.34900998546291,107.06586829254292,106.87111957267368,106.655088179487,106.48418837500613,106.482852070709,106.61981947631396,106.6514484159507,106.63070505991438,106.59019975900868,106.54690832604928,106.5624856968122,106.32406803535976,106.41883752254842,106.7854727461076,22-12-28-rings-morning_min4,0.656269734493836
103.90148364694564,105.48113793195368,106.97004878147662,108.36821619551452,109.67564017406735,110.89232071713548,110.52415317743964,109.90958017591088,112.817240024169,116.01147662673104,119.65969396766717,123.63434398234114,127.61805436322372,130.44950254245006,132.9138965107231,131.5547500495996,130.75646496463395,128.5893170715235,129.71530721431907,131.00717540452231,130.26082013371334,130.04945320148272,130.22936584809673,130.61900751635443,131.32743975210198,129.89888755866946,129.80913427016486,130.08251893168688,130.7435558773232,131.9808699288932,131.16968613534732,131.33454215842394,131.4879260331918,131.68597033867627,131.8207421071629,132.03162296138402,132.56851944833255,133.18699966931018,133.7954391833168,134.25325731231078,134.3788190073314,134.28287800764429,134.16009995900777,133.74484364442782,133.13405554248465,132.5433056653144,132.3617117841888,132.2408998871022,132.32609736199788,132.62444955707224,132.94746526068107,133.4229006627554,133.91844072411232,134.23728257521222,134.37672564649714,134.42422827490506,134.3259853127183,134.03537368131583,133.7325908569409,133.47585590691773,22-12-27-rings-morning_min0,1.28603069134631
133.30903683166994,133.44707265024684,133.8360563396988,134.3356534204613,134.82890108696603,135.42834135263936,135.78130318635044,135.80796202102175,135.5608992887873,135.15669859296332,134.8328583872293,134.5562458411058,134.4189294826656,134.4496768695524,134.75011393585837,135.1115444851141,135.32078266859787,135.37948618229618,135.37433488005848,135.26825163505745,135.1931898698292,135.1128119962671,135.18167513875153,135.6821790531827,135.86507656512015,135.89211540710315,135.81708799244538,135.82627911201024,135.86464346231324,135.8601918405119,135.8672986019692,135.83570597270204,135.78021988713132,135.87811072778237,135.5396987296055,135.37019363840426,135.65156127398768,135.53316364680836,135.56798214118004,136.07874816555298,136.1282429455243,136.1138539280523,136.00947322672718,135.8579701008595,135.6613850197113,135.55616779585108,135.57148210100237,135.14172291595918,135.16852439755036,135.56112362863269,135.84196766513995,136.1367526532797,136.12617468046983,135.8578627781983,135.1783230387246,134.68030672717586,134.28592881379407,134.08538209610808,133.9898267227911,134.07594705122457,22-12-27-rings-morning_min1,1.28603069134631
134.4615671773804,134.58825734317563,134.56651759392656,134.5931846426701,134.73391094480124,134.57590170820828,134.8266768698451,134.73855740204928,134.27468620998667,133.60516095707135,132.5430333976588,132.01480987003754,132.01743169164828,132.5990355159868,133.49210607996022,134.41135855873628,135.6100650204054,135.71795453554833,135.8094237484275,135.8738903571121,136.05726099437695,136.06914569884347,136.48505709468387,136.54047625967195,136.37651454274663,136.28913050033862,135.52594411305242,134.48737726235163,134.11691567758575,134.04376971525497,134.30364588445138,133.73683644842416,134.06201259496711,134.4907966886808,134.78071035386446,135.01370937128243,135.11594788301662,134.92785580721227,135.4635276645077,135.75853333326512,135.7696977712958,135.41335172142465,135.4456601975967,135.64125980413343,135.44479619277337,136.56860366198873,134.74529071492336,132.80196666032447,131.17016325047575,129.5105041274434,129.435484561835,129.90665507167756,131.31254488048748,132.21821357846133,135.29548713743213,136.00049508820288,133.52308800760525,131.64058818994258,129.27198507610856,127.71021860529322,22-12-27-rings-morning_min2,1.28603069134631
127.5341046789426,127.525936280483,128.23032494545197,129.69667241785217,130.15405091279223,127.52886251685288,126.88762661041233,126.90940872823342,127.64081249257389,129.31670231613856,130.78106919112477,131.97918698268148,132.9946365027975,133.257364633627,132.87840633425986,129.93101563376874,128.49466563312694,128.6034576641971,128.20866164799924,129.61231347446602,130.80295406746595,132.08223014323633,133.3746126301104,134.48210025707482,136.5988987507539,135.77207946397152,135.59380874929576,137.20473595887148,135.65624558108075,132.48115096989653,130.3533725390349,128.24335184482675,127.16943451229248,126.74129994186006,128.32977280457035,131.0143493104806,133.45136625061275,137.21890473031794,137.9380259437661,136.79395320125366,137.19818640334148,136.41532722622375,135.90977520933703,135.71100526666663,135.38431769558517,134.22808512363451,134.16834671115362,134.17587175734752,134.12202898247168,134.08306022953548,133.98008582894636,133.96902138203012,133.93362497748623,134.52006223874722,133.6031356302826,132.61498074705756,132.52880362977265,131.37541013495797,130.6281883510178,130.3871831831338,22-12-27-rings-morning_min3,1.28603069134631
130.54939946024433,131.18039801149428,132.1617824481161,133.84651177724857,134.9669552081193,135.73374247823773,136.06085767652718,136.16304319188515,136.01146956257827,135.55713104981982,134.81567356848402,134.00469434473467,133.17800866635346,132.09424784553948,131.71351152689056,131.92334798461508,132.71803702094206,134.14919195961374,135.013369689336,135.96202227637775,136.7867664538005,137.32370410123053,137.46005052110317,137.52285876853233,137.13152907402966,136.7795088113905,136.52487153466492,136.39920064092468,136.34586382909404,136.4492234197951,136.66146236787688,136.96848889922802,137.7636254512364,137.7618625058825,137.11021695875007,136.92282967151672,137.2416376991274,136.76454492705403,136.55507778287387,136.50645762530627,136.67561143145403,137.0520721206547,137.5349733825694,137.2759933141241,137.62101920899138,138.012598696132,138.5091947784719,138.12145879619555,138.13439724013008,138.10723770153498,138.11385508480276,138.13919179019808,138.21067509530445,138.23812276157045,138.27042612118828,138.29889366167728,138.22025425529375,138.1660890379156,138.0910993271056,138.04910565237756,22-12-27-rings-morning_min4,1.28603069134631
