t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,file,AU
153.1320751828685,153.19105196234486,153.22008860217562,153.21918510236074,153.18834146290024,153.12755768379458,153.56937178166731,152.66931606176595,152.92778669245166,152.4794475099332,152.31710959648427,151.81340787815932,151.03376318293215,150.97739032268225,150.63386177792304,150.5906026045788,150.56503699937156,150.67569330667368,150.8497901985409,150.85758601831765,150.861294650573,150.8311063680772,150.59251211496428,150.37945009269637,150.19023466160996,149.6864791318133,149.590879161794,149.89382096651545,150.49936342622752,151.24742547497928,152.1017820081349,152.88383659481053,153.44782319237916,153.82397114505187,154.09467214399996,153.783718383007,153.86145242880798,154.8653456044118,154.5284889790314,154.78846602665752,155.24750647343146,155.49865178357655,155.09854366376763,154.13391805028522,152.50467538721924,150.9392994412002,150.26552694157158,149.62255218154235,148.19899721291307,148.37116471977464,148.97601058342323,149.69803584847168,149.9731418413681,149.09717348682588,148.1877015381414,148.14902407411856,148.8435629737893,149.1674087071747,149.81566228820392,150.5096524796101,23-02-22-rings-evening-sync_min0,0.75002516862982
151.13083317173533,151.5981524759305,151.53747652603496,150.60232455245472,150.2289668745866,150.0414992851001,150.08443554274,150.14427699295732,150.18581977722567,150.12355887324262,149.87550383216944,149.66169810536326,149.46206996700718,149.24463520017468,149.0449891090367,148.78273177686043,148.54978144714562,148.31120992797327,148.61379619261385,148.78734118877745,148.8904722805067,149.1638130415106,149.137962254253,149.55688657699602,149.74062725332655,149.6475490163685,149.61108508817136,149.9185831495756,150.1730169593795,150.4736894012171,150.49582907189182,150.50105951881622,150.32659246214763,150.64111840487843,150.56906878170173,150.4694560133645,150.64104382817857,150.97895169909535,150.93111681631507,151.1333925447023,150.99381702440326,150.89128015569372,150.75384321952768,150.49881049929357,150.29686335837724,150.13777916400176,150.07652108460536,150.01176586891205,150.00840021447763,150.1384941347141,150.08274446568043,149.90923701567436,149.55776382585734,149.11593775325247,148.7743541088274,148.06620976475637,148.11350363866046,148.48725961508288,149.72192357273542,150.1667645566884,23-02-22-rings-evening-sync_min1,0.75002516862982
151.10944753099275,151.44057242025275,151.3038187600922,150.82013341116726,149.87438504231568,148.5902718834916,148.0349573406446,147.74048590467626,147.85470789003983,147.1894006294059,147.4859051209073,147.29195474905268,147.20604684382408,147.21249133004895,146.68380042624494,146.88554948289757,147.5429244322752,148.49179014843963,149.5570939480333,150.4880348751837,151.31109036036793,152.172333341742,153.22439537769674,152.8657314828065,152.0820895958044,151.9711872326046,151.85244606248494,151.80228911702545,151.8586244475871,152.0244643329669,152.35110005315568,152.8517924151362,153.62835083910358,153.50900966820296,153.81548463387077,154.06685912291343,154.2045742000904,154.22789872565707,154.13631358474456,154.04741056086394,153.8447348850941,153.6250421295269,153.66115420823988,153.70761877936815,153.70996150592612,153.72470403860584,153.7119729877582,153.59189331386688,153.43370293370342,153.3257990343197,153.188691874791,153.05159667491552,152.9732693275299,152.8370346105777,152.6971896321677,152.61228899569753,152.54480067260383,152.45640838241783,152.4130572292012,152.51825612812206,23-02-22-rings-evening-sync_min2,0.75002516862982
152.61627198398546,152.72388828666902,152.73433763344124,152.27851221349027,152.01974703544258,152.03436149624537,152.21916262275056,152.5339509599604,153.00649169034867,153.64114062320388,154.23280373728852,154.76647260952242,155.00987354126414,154.9272152456014,154.912078515218,154.81606213444826,154.83102092967613,154.89962997586366,154.99407526313405,155.0079103688974,155.2214460689802,155.5168691850311,155.87610830435992,156.26448970843637,156.39575161099873,156.50308559053002,156.6860307106949,156.71561917526094,156.64261895876294,156.57150502442033,156.60860678797948,156.59923192658667,156.69937551776167,156.79248080593422,156.82490804015515,156.97286717241923,157.13333581943496,157.3006390786665,157.45647919863217,157.57150874415498,157.58648547886264,157.63800761782875,157.72343447904035,157.6703395044207,157.57903814630322,157.45229732225295,157.3680211774387,157.35660286332984,157.28611671661048,157.1912733235608,157.25143965502758,157.31830400440313,157.4622237873364,157.5730838869857,157.69409109319471,157.6426100596509,157.65339587761162,157.63389020115528,157.57110814285753,157.54565211515933,23-02-22-rings-evening-sync_min3,0.75002516862982
157.4933172847976,157.36595987941328,157.38286160035088,157.39502969996292,157.46192234757308,157.53028052355455,158.73497137913705,158.62067825958016,157.37138663825385,155.2522562711718,152.62334120349158,149.81625910631675,147.09123912340542,144.86214240642715,142.3370797506759,142.30982900136183,144.82537422813266,147.06161644321372,149.66839734423908,152.94735301012454,155.54093579403047,157.86343836194138,158.1639766505853,156.25087705788286,152.39005901108158,149.4066127360665,146.6617798232773,144.4404407279165,141.99885129059308,143.16737286901213,144.27696720211162,144.98083241907102,147.01602758908055,147.93022955517182,148.40046158475886,148.3027612045164,147.8149522675996,146.87043884920354,145.21363079163336,145.65143987051738,143.64616850930383,144.35192907258565,145.43696848743767,146.15856423782571,147.55571908354133,149.26637878092768,151.2274433889422,152.94523880660654,154.0425899115326,154.47724178570687,154.36497623506835,155.97225562193435,154.6905243385069,154.57051807051857,154.38367914152715,154.1799601037274,153.99834434139416,153.86460015159614,153.81951159978115,153.79531284239852,23-02-22-rings-evening-sync_min4,0.75002516862982
122.44432255883576,119.09888076837063,116.40718963507474,114.36924915894804,112.98505933999051,112.25462017820256,113.42099676823968,114.22990342131206,115.05268843844247,115.55152460636154,115.95973618097408,116.0210994673468,115.85532677874036,115.49565823549166,115.05454563069762,114.98220254994484,114.93275800050029,114.92006010070564,114.93673621738174,114.87631516018648,114.74044082431216,114.71717713653234,114.73296718780624,114.79057681638363,114.85404267339788,114.94878846814368,115.0195766260286,115.0057904509521,114.8787704690934,114.64032275000052,114.50967091612289,114.51485473743574,114.38931085382734,114.34530171949564,114.44839156774675,114.49497293368296,114.51979475527898,114.5653515234164,114.58427559072756,114.5304376336638,114.55983447918965,114.6181408342702,114.7119325506426,114.7538124183289,114.82490033457812,114.76480708093648,114.81140070817528,114.96749813201464,115.0507168120075,115.04470809632136,115.09954206405855,115.20821012756534,115.11679541034415,114.83996568190152,114.6646796582284,114.60586354457357,114.68000411871417,114.85433606401384,114.96267361428689,115.16998494095304,23-02-28-rings-evening-sync_min0,2.44054210831619
115.28689415786224,115.22021644924908,114.9836499933278,114.80345267442078,114.72895618379523,114.64405743438036,114.67813342329508,114.68927034410942,114.73164886068146,114.68364111912533,114.4577122577126,114.1952636823608,114.00242699274992,113.87727892566636,113.78790574919644,113.59645425239935,113.84559226386448,114.09880202254011,114.3724291318687,114.46359862123322,114.4979680453236,114.5839596319168,114.48482666362104,114.31452019954864,113.97551687573272,113.8711529727412,113.87624229993702,114.07253434293712,114.18777082556642,114.32274961313892,114.45705577233645,114.59330448319352,114.46050639407568,114.30032696922896,114.014541523332,113.91124969408742,113.6411032742703,113.59927333153176,113.6390244745087,113.76246036246071,114.00388141355918,114.07696690599953,114.03696498212662,113.91269647721296,113.67208453660102,113.51459088233317,113.58719730332668,113.69146565920796,113.93825912535624,114.11378353313872,114.28086315505706,114.28271779562138,114.14781921556153,113.84624739786068,113.58071540974802,113.52092042414658,113.57857354309002,113.67418914515724,113.72807689259338,113.92455918584986,23-02-28-rings-evening-sync_min1,2.44054210831619
114.14593368464372,114.40499617596429,114.54009594977371,114.70022368409502,114.69194066613456,114.644133982844,114.5331022653607,114.45279852376662,114.395645679517,114.43573959703028,114.41582100936976,114.41717808492038,114.49202473396056,114.49615279615315,114.38050994825224,114.34814762879314,114.39520095326584,114.3158558965014,114.4012040463657,114.58909956651928,114.79430506527316,114.9149085245863,115.0862043410434,115.17952985694956,115.30604204475208,115.45143413207964,115.4879512718226,115.29941003489428,115.24294964940162,115.36750314492286,115.29630189630224,115.1791101952396,115.16568671084836,115.23916558110142,115.31058292671231,115.41292998389808,115.4252654639755,115.50060188769902,115.61333223591323,115.65172074849532,115.4870944709658,115.42539092216546,115.3285608414644,115.30887887662118,115.29059862930868,115.30921399631112,115.44876394553847,115.6502341502345,115.75051609245192,115.71462969850104,115.79127218804672,115.71907953520892,115.57241112079858,115.51137781137815,115.42482493772852,115.4749840298231,115.53244957115962,115.47735134186784,115.41233243168762,115.39809238518951,23-02-28-rings-evening-sync_min2,2.44054210831619
115.38545037254752,115.23021733666933,115.21845630877924,115.26110511594418,115.25594303981438,115.33372122404415,115.28996016092827,115.38571226313198,115.2761495309886,115.04297749136494,114.76318540512123,114.6806646032456,114.72474026022448,114.73209114822052,114.77398144817536,114.82213896730062,114.9489528102435,115.21962628091696,115.19214829537448,115.14031272418404,115.24137173492048,115.22439741794618,115.41761120262322,115.34046438666704,115.15876187765886,114.81040262477006,114.40639265054948,113.98458487877568,113.53758380546094,113.2054987551708,112.99093398877852,112.71951213987124,112.81091201960348,112.56679447009742,112.6302014450266,112.87006578093091,113.5145857260427,113.88742666355628,114.2085179899357,114.5084511831746,114.72892654557803,114.87191122520096,114.94520796650944,114.81851955468017,114.88646793173363,115.27250385117532,115.65441907668888,115.31300062973096,114.85741038478542,114.34271033845324,113.88899937060948,113.40551726213376,113.00055325306823,112.66440367383083,112.57197191930425,112.76800496453048,112.82547636628792,112.80209326624934,112.7954175969422,112.80062310684318,23-02-28-rings-evening-sync_min3,2.44054210831619
112.85972596179954,112.89194183054944,112.90729511528276,112.96456805208273,113.02261309912817,113.01892462273764,113.01369520704353,113.06037000261732,113.0505862052046,113.0045460381284,112.99659933061,113.0660161290984,112.98333358411014,112.9023787248569,112.80797390387404,112.7366530792704,112.80974865120972,112.86088276781872,112.92887164046886,112.99420012645732,113.16907662842664,113.273646802031,113.19002250941396,113.14552796905184,113.1829452696556,113.07083769321132,113.03846367123364,112.92391957884963,112.84816352650046,112.82703375840214,112.8620411206833,112.80387631030146,112.76789256042844,112.86329448735724,112.90416298763574,112.85166708454966,112.90625061961742,112.9632072499618,112.91838154405303,112.89347662934536,112.8324834355122,112.8391148556649,112.744611552189,112.74031661863748,112.72188661144838,112.76940654712212,112.8804055510005,112.9366905223049,112.90445402894916,112.91823323438712,112.95770362075773,112.90336715909352,112.75287272030404,112.83430207254833,113.05652567415204,113.11869479410586,113.1412512839681,113.04135374511964,113.0171817113659,112.82609237002784,23-02-28-rings-evening-sync_min4,2.44054210831619
