t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,file,AU
149.57777115459874,142.3916888370557,136.54963230064922,132.05160154537927,128.89759657124588,127.08761737824936,126.48766352875704,130.47497761882636,133.1516287562036,128.4427575434301,126.53253544771432,120.34433726581868,119.02427029549447,121.4496114530916,122.03715599658564,122.8110113984356,119.70862195093568,120.8543363659304,118.47592503739564,114.60714708664602,119.10515972217873,118.9997219463584,125.3981855723962,128.33751308535207,127.83174208418392,130.80746221650705,125.61093258612752,118.9268977992927,112.75386885910352,108.02059196645484,105.56193649301495,100.10830943115062,96.95663125953784,87.50845849324885,89.24958377489419,99.13353432816972,105.01514886381231,110.62247765574028,118.80759280024584,127.05076994987964,134.4865311358729,140.21013569701745,139.30208355097398,136.25540537761344,136.22276840466884,136.17567728789084,136.13737031728712,136.09538276156664,136.01954680123973,135.7062658207682,135.5958611943571,135.68605374660106,135.97915435609264,136.36792703553,136.84361214527885,137.3722947641104,137.8507556297783,138.21096147301637,138.3421865965663,138.25274839996564,23-02-18-rings-evening_min0,1.07070770388015
138.25438290437722,138.23042609178515,138.2055780410277,138.18428771071635,138.17706011120362,138.1602997205571,138.12038219089348,138.09405740077477,138.08290457756442,138.0772788861172,138.0369016641909,137.9851073546909,137.95859896114763,137.9291462931604,137.93989368943636,137.9332379249986,137.94080652544744,137.98156077897028,138.00599194980953,138.03296040710634,138.05834709193212,138.07508688854864,138.09192096875245,138.07546752834884,138.05313006018005,138.04529428272147,137.9919154382812,137.9420667014513,137.8852519697556,137.8676287599937,143.7530727740796,136.2554282965829,130.3865926081109,126.18183590360177,123.65080496655172,128.90005807433994,128.23194219291543,117.01817649204423,110.92825360352518,109.91811708376568,113.90608103883925,107.97129287320784,111.41457008185633,118.257434944338,128.4866578573659,142.1055204525481,143.72949867251577,137.4947559007927,137.46121747368434,137.4044221108892,137.33981160418583,137.32862695922736,143.2957328707071,135.79965789240703,135.79217382744088,124.31060214011244,116.09351548848392,111.1016891417107,109.44989224968766,111.089308314288,23-02-18-rings-evening_min1,1.07070770388015
116.03498243039078,124.25839379899796,135.76498819537645,135.51749958901055,142.8304709854997,136.9765073849856,136.94092340674413,136.91758208335398,136.9530895305283,137.00253165086275,143.0880602577314,135.54554232999504,129.6947829691009,125.52565045767244,122.98345750911922,122.1007115132638,128.97166714581655,123.9178930490106,122.24185784522788,123.96039964179114,129.04012444249202,122.20787072289184,123.11922287129838,125.7093487909346,130.00906769863963,135.98328232846598,143.6048743344629,137.56564521937796,137.55627858740695,137.55439162729857,137.53442251209935,137.5164789151915,137.48219028997573,137.48682519556584,137.4797982129682,137.4583596024793,137.39340975864457,137.3237086298309,137.2975731775327,137.3175549313249,137.3669986482796,137.4264097413821,137.51626228464954,137.59114071545451,137.6216866968214,137.67470458652448,137.7272860653755,137.74398127913796,137.77499134742524,137.76866768395132,143.7081458999527,136.25496790278697,130.45483843577645,132.09758510672157,122.2920239615314,115.79511872777736,112.57229751451848,112.6070298760404,115.91737355969472,122.50281907763669,23-02-18-rings-evening_min2,1.07070770388015
132.38573725712305,130.529645895777,136.2315308238978,143.56823093664974,143.7478843653181,141.95789824729007,134.44222749512295,117.47645368113828,105.67934521602052,99.00271636149,97.35164808326608,100.65152038171048,108.80434334875936,121.68315071891205,139.18581958241307,146.0816239493646,147.33371622491305,141.50976676713722,141.48899866206432,141.48090046584048,141.4984869256724,141.46966213650217,141.44270655492014,141.43293080877046,141.4235345879485,141.23280622970913,140.99339635098653,140.75509479545474,146.98737938939033,138.85075389567177,139.70718926415793,126.20224100484182,116.55601899213286,110.8205068101191,108.81595795498788,110.45002124787072,115.88053404150544,131.4889100819451,142.87432058170995,129.41760385596723,127.83642870726533,113.62123837820916,110.11136944245274,110.12979374139708,113.62727437178609,120.63824396291632,131.1730637107569,145.20224759613674,146.6427986553181,140.29638954840414,140.28357021328867,140.2783738032308,140.289709360419,140.2703576353483,140.2775060401255,140.23577593942017,140.19870095894004,140.13760362934906,140.0754117770571,140.0667362603402,23-02-18-rings-evening_min3,1.07070770388015
140.07538217635002,140.06019303391784,140.06530645924306,139.779360688434,139.84343509827255,140.1525182400431,140.69875576569652,141.38473100916687,142.12790382541402,142.8669710828681,143.49004048444095,143.93553221692,144.08652440416705,143.87944379330835,143.90569421807257,143.94815772866048,143.99634906696718,144.01024098706333,144.01899906959764,144.02262822694388,144.0394368284082,150.336194250676,142.4111276533444,136.23562938208386,131.81452673522438,129.14636552764182,128.23138720467642,129.05093021988046,131.6432325611684,135.99237785324885,142.1139778133479,149.97822585335516,143.6704882286094,143.6888669717196,143.99379643477587,143.9854684121809,143.73917985475038,143.31930639212175,142.69764928810383,141.979883821849,141.24311679226577,140.6225756902336,140.14380666104952,139.92827400498038,140.07704802036204,140.0536075800515,140.09053104759323,140.15906145065733,140.1801144378358,140.22901216994583,140.28902422853884,140.37261655027504,140.40167846126448,140.4238996923175,145.5893422475749,139.1249238289766,134.19912269702252,130.79291772978632,128.68233260429267,127.8624597485716,23-02-18-rings-evening_min4,1.07070770388015
125.1407335545828,126.1202377705059,126.49139534912536,126.25420629044118,125.40867059445335,123.9547882611623,121.82659814396656,119.70191326381531,115.58603737334742,111.97106560049389,109.29230141684404,107.89132581390378,107.75601050103076,106.12922436071938,107.746810370673,108.0728202398444,108.11127272458666,108.05891139762224,107.76344348849187,107.75020944696352,107.94997017853116,108.54053454447114,108.41469266432313,108.27381174158457,108.09906843602444,107.94343527202297,107.73104792166298,107.50689813154916,107.23590127304848,107.23298884910784,107.42673837264276,107.76200285599631,107.43552187467176,107.36185448634164,107.36079922033034,107.3784588497202,107.3120839896503,107.20555957564788,107.16635062558848,107.26992507329784,107.62202059914702,108.03522500633972,108.6416820878701,109.20093161970028,109.70463191093724,110.0110282028174,110.05893646920072,109.89212750429796,109.5415149855036,109.16189895148872,108.84233287077896,108.65107279491475,107.0202881527452,109.05631307939692,108.6314526798896,110.55573627562563,113.35045815324769,115.5554157327124,117.17769234732242,117.94061137951688,23-02-17-rings-evening_min0,2.87194701986755
117.55785272199007,116.14974307437748,112.64476614445876,113.69669031709688,113.21724484122176,116.93895939312112,121.2403527361164,125.21973762082264,129.04580993446615,131.91809919802787,133.47371070270435,133.6780120155991,132.49897219942733,132.56051054003365,132.5669076164228,132.53794244323154,133.8254741427662,133.4302484100271,131.72288094485336,127.7664303358082,124.94132664129198,124.81457058255204,123.86309748329418,120.92847840668448,119.9874470715438,121.05225712331972,124.04705882885972,125.62723532496908,126.79041421664326,127.16687080387294,129.7061434058926,133.11335215712177,133.44534262687685,133.3818252850055,133.0187288195772,131.1514711699112,128.17072471516354,124.55774261043726,120.75163069025304,117.07990685631307,114.038456215238,110.60918312613232,111.96080186208884,115.16795361473818,116.461103726097,117.22689012299352,117.59801487038791,117.42417642882906,116.78054796337284,115.5968254378794,113.97960201480706,111.97551601836012,113.26211647599506,113.37841389630282,113.36677138436704,113.32796393896136,113.25036936019376,113.07224604981238,113.00180855312854,113.04795404986056,23-02-17-rings-evening_min1,2.87194701986755
113.10127049555236,113.23076586170464,113.3409651606136,113.5115533049554,113.57042076528916,113.53159081062344,113.34522434229214,113.19639046193332,113.14317518584414,113.07094912256238,112.927616485828,112.85716590350056,112.8800453863507,112.84460017011372,112.70505839875376,112.57070181366404,112.50543404135814,112.41306383417856,112.33426413924984,112.2318725425767,112.19174517239068,112.2684966711363,112.34492443040864,112.34664838257248,112.40435148103803,112.48017632416494,112.50902268145704,112.40948731945836,112.29889606971751,112.271680063176,112.1637726398727,112.22430809564054,112.08834052797562,111.75960862215192,111.42965213479916,111.2046931429606,111.13770044284732,110.9477798302196,110.65233895383145,111.12404876796498,111.50580760194546,111.97001028154013,112.2068716502584,112.18811792644117,112.11617662057684,112.06272911524415,111.99574435905733,111.57259279772948,111.20493845219406,111.60450572536314,111.58020972037814,111.23025742928256,110.78463749498027,110.21705239799422,109.74054333428208,109.2624291684296,109.14481492275824,109.3758247572396,109.90643653076948,111.05459504708102,23-02-17-rings-evening_min2,2.87194701986755
111.72331661932296,111.85438863995468,111.4421233231783,111.1469778324208,110.85902253673446,110.594503988599,110.7116216031166,111.10314295757144,111.64994238556172,112.2892157078084,112.3494614467574,112.10936162802992,111.54489578171498,111.23910950345449,109.50196789904685,109.69135350579204,112.71304677619555,115.15229556198072,116.9345880113629,117.92155507452608,116.83931565602644,117.9608100184266,117.88744303756984,116.57582166812614,114.10602824438335,112.6650398586866,115.52082051448296,116.16811138592648,115.95415999837718,115.02388547630191,113.14742063471576,112.70490155069125,113.6338183497784,114.08107437812087,112.54125216274085,113.29784614259096,116.41601921898726,117.39420446951382,117.45444055583228,116.74291327048942,115.24022560707326,113.05418210404372,113.34310659154444,111.91098973483628,108.56817762606042,111.3603023635824,112.4338211879349,111.96926775441771,112.80717247115774,116.0343609297336,118.39865537096688,118.22873546134196,118.5664448453196,118.99464975086084,119.17955643768488,122.239009750643,123.23941538680026,124.83527345341956,126.71909038902194,127.9392541375774,23-02-17-rings-evening_min3,2.87194701986755
125.63959956161597,121.1078186783098,116.25340246403104,114.86143935920784,113.59968443220838,112.9238149873684,113.22127585364844,114.91740544968088,114.657884581578,112.85712137837471,112.4681599067587,113.09544814493128,114.2544583111815,119.245198990878,122.90500682223391,126.3426820419894,129.09953237664593,130.80217137284336,131.02753389417026,129.76209555237915,129.82737368346844,129.8757195145444,129.8988066156802,129.9394864287599,129.97523146804497,130.0125115747068,130.04724925727163,131.518621130749,129.7732405461887,128.41698741925586,127.48704147899429,128.4701374130104,128.1632999441714,126.5045271331997,122.62788027974504,121.65188664311594,120.45848462720218,118.9269562407332,114.6574433633344,110.83297009361878,110.08976107411824,112.51976891749152,114.3213991245944,116.24221612927036,118.1425297792854,123.1644568033194,126.15919305059433,127.79373887005656,128.37491444298206,126.82966040329973,126.87079291354844,126.9228910867556,126.94334156319974,126.99781534925616,127.0368324522839,127.093324627169,127.1670455122455,127.24438446131904,129.18943361594793,126.91136433376228,23-02-17-rings-evening_min4,2.87194701986755
